Myself,Tasks,Free,Mastery,Competent,Learn,Group,Talk,Care,Satisfied,Meaning,Stay,Ideas,Values,Understands,Encourages,Listens,Network,Friendly,Team,Appreciated,Responsibilities,Work,Impact,Strong,Drained,Frustrated,What year were you born in?,What is your gender?,Team Name,Survey Data,Well-being,Engagement,Autonomy,Belonging,Competence,Needs,Leadership,Management,Returns,Rewards,Status
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,1,,,IFRC,2020-07-26 21:53:16.398000,3.7,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
5,5,5,4,5,5,5,5,5,5,3,5,4,5,5,5,5,5,5,5,5,5,5,5,7,3,3,,,IFRC,2020-07-26 21:53:16.398000,4.1,4.4,5.0,5.0,4.5,4.9,5.0,5.0,5.0,5.0,5.0
3,5,4,4,1,5,4,2,1,5,1,5,3,1,5,5,1,3,1,1,1,3,3,5,7,4,1,,,IFRC,2020-07-26 21:53:16.398000,4.3,3.0,4.0,2.3,2.5,3.0,3.7,3.3,4.0,3.0,3.0
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,2,1,,,IFRC,2020-07-26 21:53:16.398000,4.8,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
5,5,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,7,1,,,IFRC,2020-07-26 21:53:16.398000,3.7,5.0,3.7,5.0,5.0,4.5,5.0,5.0,5.0,5.0,5.0
5,3,5,4,5,4,4,5,5,4,5,3,4,4,5,5,5,4,5,5,4,4,4,4,6,2,1,,,IFRC,2020-07-26 21:53:16.398000,4.5,4.0,4.3,4.7,4.5,4.5,5.0,4.0,4.0,4.0,4.0
4,4,3,5,4,4,4,3,3,4,4,4,3,4,4,4,4,3,4,3,5,4,3,4,7,1,4,,,IFRC,2020-07-26 21:53:16.398000,4.3,3.8,3.7,3.3,4.5,3.8,4.0,3.8,3.5,3.5,4.5
3,4,4,4,5,5,3,2,4,4,5,5,5,5,2,3,2,3,4,2,4,3,2,5,7,3,3,,,IFRC,2020-07-26 21:53:16.398000,4.1,4.8,3.7,3.0,4.5,3.6,2.3,3.7,4.0,2.5,4.5
5,5,5,5,5,5,5,4,4,5,5,5,5,4,4,5,4,5,5,5,5,4,4,5,6,3,2,,,IFRC,2020-07-26 21:53:16.398000,4.1,4.8,5.0,4.3,5.0,4.8,4.3,4.7,5.0,4.0,5.0
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,6,1,1,,,IFRC,2020-07-26 21:53:16.398000,4.8,5.0,5.0,5.0,5.0,5.0,5.0,4.8,5.0,5.0,4.5
4,4,4,3,4,3,4,4,2,4,4,3,4,3,3,3,4,4,4,4,3,3,4,4,5,5,1,,,IFRC,2020-07-26 21:53:16.398000,3.7,3.6,4.0,3.3,3.5,3.6,3.3,3.5,3.5,3.5,3.5
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,3,5,5,5,5,7,3,2,,,IFRC,2020-07-26 21:53:16.398000,4.3,5.0,5.0,5.0,5.0,5.0,5.0,4.8,4.5,5.0,5.0
5,5,5,4,5,5,4,4,5,4,3,4,3,5,3,3,3,5,5,4,2,4,4,5,7,4,2,,,IFRC,2020-07-26 21:53:16.398000,4.1,3.8,5.0,4.3,4.5,4.6,3.0,4.2,5.0,4.0,3.5
4,4,4,4,4,4,4,4,4,4,4,5,4,4,3,3,3,4,4,4,5,4,4,4,5,5,2,,,IFRC,2020-07-26 21:53:16.398000,3.5,4.2,4.0,4.0,4.0,4.0,3.0,4.2,4.0,4.0,4.5
5,5,5,5,5,5,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,1,2,,,IFRC,2020-07-26 21:53:16.398000,4.8,5.0,5.0,4.0,5.0,4.6,5.0,5.0,5.0,5.0,5.0
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,,,IFRC,2020-07-26 21:53:16.398000,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
4,3,3,4,5,4,5,2,3,5,5,4,5,5,5,5,5,5,4,3,5,5,5,5,6,6,4,,,IFRC,2020-07-26 21:53:16.398000,3.0,4.8,3.3,3.3,4.5,3.6,5.0,4.8,4.5,5.0,5.0
4,3,4,4,4,4,4,4,3,5,5,5,4,4,3,4,4,3,4,3,4,4,4,4,5,5,5,,,IFRC,2020-07-26 21:53:16.398000,2.8,4.6,3.7,3.7,4.0,3.8,3.7,3.8,3.5,4.0,4.0
4,2,4,3,4,2,4,4,4,3,5,4,4,3,3,3,2,4,4,5,4,3,3,4,6,5,4,,,IFRC,2020-07-26 21:53:16.398000,3.2,3.8,3.3,4.0,3.5,3.6,2.7,3.3,3.0,3.0,4.0
4,4,4,3,4,4,4,3,3,4,4,5,4,4,3,3,4,4,4,4,4,4,4,4,6,6,4,,,IFRC,2020-07-26 21:53:16.398000,3.0,4.2,4.0,3.3,3.5,3.6,3.3,4.0,4.0,4.0,4.0
4,4,4,5,5,5,5,4,3,5,3,2,4,3,5,5,4,4,5,3,3,4,4,5,4,2,1,,,IFRC,2020-07-26 21:53:16.398000,4.1,3.4,4.0,4.0,5.0,4.2,4.7,4.2,4.5,4.0,4.0
4,5,5,5,5,5,4,4,3,4,3,5,5,4,3,4,4,4,3,4,5,4,4,5,6,4,2,,,IFRC,2020-07-26 21:53:16.398000,3.9,4.2,4.7,3.7,5.0,4.4,3.7,4.5,4.5,4.0,5.0
1,4,5,3,4,5,5,1,5,4,5,5,5,4,5,5,5,5,5,5,4,3,3,5,3,3,2,,,IFRC,2020-07-26 21:53:16.398000,3.5,4.6,3.3,3.7,3.5,3.5,5.0,4.2,5.0,3.0,4.5
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,6,3,7,,,IFRC,2020-07-26 21:53:16.398000,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
5,5,4,5,4,5,4,1,2,5,1,2,1,2,4,4,3,4,3,2,2,2,2,5,7,1,1,,,IFRC,2020-07-26 21:53:16.398000,5.0,2.2,4.7,2.3,4.5,3.8,3.7,3.3,4.5,2.0,3.5
4,4,4,4,4,5,4,4,4,5,5,4,5,5,5,5,5,5,4,4,5,4,4,5,6,5,1,,,IFRC,2020-07-26 21:53:16.398000,3.9,4.8,4.0,4.0,4.0,4.0,5.0,4.7,5.0,4.0,5.0
5,5,4,4,4,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,6,4,1,,,IFRC,2020-07-26 21:53:16.398000,4.1,5.0,4.7,4.3,4.0,4.4,5.0,4.5,5.0,4.0,4.5
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,1,5,4,1,2,,,IFRC,2020-07-26 21:53:16.398000,4.1,5.0,5.0,5.0,5.0,5.0,4.7,4.2,4.5,3.0,5.0
5,5,5,3,2,4,3,3,5,3,4,3,1,4,4,5,5,2,5,1,2,3,3,3,1,1,1,,,IFRC,2020-07-26 21:53:16.398000,3.7,3.0,5.0,3.7,2.5,3.9,4.7,2.8,3.0,3.0,2.5
5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,2,1,,,IFRC,2020-07-26 21:53:16.398000,4.5,5.0,5.0,4.7,5.0,4.9,5.0,5.0,5.0,5.0,5.0
4,4,5,5,5,5,5,4,4,5,5,4,5,5,5,5,5,5,4,4,5,4,5,5,6,2,1,,,IFRC,2020-07-26 21:53:16.398000,4.5,4.8,4.3,4.3,5.0,4.5,5.0,4.8,5.0,4.5,5.0
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,1,,,IFRC,2020-07-26 21:53:16.398000,3.9,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,3,1,,,IFRC,2020-07-26 21:53:16.398000,4.3,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,3,1,,,IFRC,2020-07-26 21:53:16.398000,4.5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,4,1,,,IFRC,2020-07-26 21:53:16.398000,4.3,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,3,2,,,IFRC,2020-07-26 21:53:16.398000,4.1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,6,4,1,,,IFRC,2020-07-26 21:53:16.398000,4.1,5.0,5.0,5.0,5.0,5.0,5.0,4.8,4.5,5.0,5.0
4,4,5,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,,IFRC,2020-07-26 21:53:16.398000,3.0,4.0,4.3,3.7,4.0,4.0,4.0,4.0,4.0,4.0,4.0
2,4,1,5,5,4,5,1,3,4,1,3,2,3,4,4,4,5,5,3,4,4,4,4,6,4,2,,,IFRC,2020-07-26 21:53:16.398000,3.9,2.6,2.3,3.0,5.0,3.2,4.0,4.2,4.5,4.0,4.0
5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,4,3,5,3,5,5,5,5,6,1,1,,,IFRC,2020-07-26 21:53:16.398000,4.8,4.8,5.0,5.0,5.0,5.0,4.7,4.7,4.0,5.0,5.0
5,4,4,5,5,4,5,4,5,5,4,5,5,5,4,4,4,4,5,3,4,3,3,4,4,4,4,,,IFRC,2020-07-26 21:53:16.398000,3.0,4.8,4.3,4.7,5.0,4.6,4.0,3.7,4.0,3.0,4.0
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,3,3,,,IFRC,2020-07-26 21:53:16.398000,3.9,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
5,4,2,4,2,4,5,2,2,4,4,4,5,3,3,3,4,5,3,3,2,4,2,3,4,4,2,,,IFRC,2020-07-26 21:53:16.398000,3.5,4.0,3.7,3.0,3.0,3.2,3.3,3.3,4.5,3.0,2.5
5,4,4,5,5,5,4,4,4,4,5,4,4,4,1,2,1,5,4,5,5,5,4,5,5,4,4,,,IFRC,2020-07-26 21:53:16.398000,3.2,4.2,4.3,4.0,5.0,4.4,1.3,4.8,5.0,4.5,5.0
5,5,4,5,5,4,4,5,5,4,4,4,4,4,5,5,5,4,4,4,4,5,5,5,5,2,1,,,IFRC,2020-07-26 21:53:16.398000,4.3,4.0,4.7,4.7,5.0,4.8,5.0,4.5,4.0,5.0,4.5
5,5,5,5,4,5,5,1,3,4,3,3,2,4,2,2,2,5,5,5,3,3,3,4,6,4,1,,,IFRC,2020-07-26 21:53:16.398000,4.1,3.2,5.0,3.0,4.5,4.1,2.0,3.8,5.0,3.0,3.5
5,5,4,4,5,5,5,4,5,5,5,5,5,5,4,5,5,4,5,3,5,5,5,5,7,1,1,,,IFRC,2020-07-26 21:53:16.398000,5.0,5.0,4.7,4.7,4.5,4.6,4.7,4.8,4.5,5.0,5.0
5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,7,2,1,,,IFRC,2020-07-26 21:53:16.398000,4.8,4.6,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,7,2,3,,,IFRC,2020-07-26 21:53:16.398000,4.3,5.0,5.0,5.0,4.0,4.8,5.0,5.0,5.0,5.0,5.0
4,5,5,5,5,4,4,3,3,4,4,4,3,5,4,4,4,3,5,4,3,3,4,5,7,1,1,,,IFRC,2020-07-26 21:53:16.398000,5.0,4.0,4.7,3.3,5.0,4.2,4.0,3.7,3.5,3.5,4.0
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,2,2,,,IFRC,2020-07-26 21:53:16.398000,4.5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
5,5,4,5,5,5,4,3,3,5,5,5,5,5,5,4,5,5,5,4,5,5,5,5,5,2,2,,,IFRC,2020-07-26 21:53:16.398000,4.1,5.0,4.7,3.3,5.0,4.2,4.7,5.0,5.0,5.0,5.0
3,4,4,3,3,5,4,3,4,3,5,4,3,4,3,4,4,4,5,4,4,2,2,4,5,6,4,,,IFRC,2020-07-26 21:53:16.398000,2.8,3.8,3.7,3.7,3.0,3.5,3.7,3.5,4.5,2.0,4.0
5,1,3,5,1,5,5,2,5,5,5,5,5,1,5,5,1,3,4,4,5,1,1,5,4,1,4,,,IFRC,2020-07-26 21:53:16.398000,3.7,4.2,3.0,4.0,3.0,3.4,3.7,3.3,4.0,1.0,5.0
5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,4,5,3,3,3,7,1,1,,,"Cruz Roja Mexicana Delegación Tlalnepantla: Administración, Captación de Fondos, Servicios Generales y Alumnos.",2021-05-08 01:38:14.501000,5.0,4.6,5.0,5.0,5.0,5.0,5.0,4.0,5.0,3.0,4.0
2,5,4,5,5,5,4,5,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4,5,3,2,2,,,"Cruz Roja Mexicana Delegación Tlalnepantla: Administración, Captación de Fondos, Servicios Generales y Alumnos.",2021-05-08 01:38:14.501000,3.7,4.4,3.7,4.3,5.0,4.2,4.0,4.3,4.5,4.0,4.5
5,5,5,3,5,5,5,5,5,5,5,5,4,5,2,3,4,4,5,4,5,4,4,4,5,2,1,,,"Cruz Roja Mexicana Delegación Tlalnepantla: Administración, Captación de Fondos, Servicios Generales y Alumnos.",2021-05-08 01:38:14.501000,4.3,4.8,5.0,5.0,4.0,4.8,3.0,4.3,4.5,4.0,4.5
3,4,4,3,4,5,4,4,4,4,4,4,3,4,3,4,4,4,5,4,4,3,3,3,4,4,3,,,"Cruz Roja Mexicana Delegación Tlalnepantla: Administración, Captación de Fondos, Servicios Generales y Alumnos.",2021-05-08 01:38:14.501000,3.2,3.8,3.7,4.0,3.5,3.8,3.7,3.7,4.5,3.0,3.5
5,5,2,5,4,5,4,2,3,4,4,3,4,2,1,2,1,3,4,3,3,1,2,4,5,4,3,,,"Cruz Roja Mexicana Delegación Tlalnepantla: Administración, Captación de Fondos, Servicios Generales y Alumnos.",2021-05-08 01:38:14.501000,3.5,3.4,4.0,3.0,4.5,3.8,1.3,3.0,4.0,1.5,3.5
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,2,1,,,"Cruz Roja Mexicana Delegación Tlalnepantla: Administración, Captación de Fondos, Servicios Generales y Alumnos.",2021-05-08 01:38:14.501000,4.3,5.0,5.0,5.0,5.0,5.0,5.0,4.8,5.0,5.0,4.5
4,5,5,5,4,5,2,5,3,5,5,4,4,1,2,4,5,4,5,2,3,4,5,5,6,5,2,,,"Cruz Roja Mexicana Delegación Tlalnepantla: Administración, Captación de Fondos, Servicios Generales y Alumnos.",2021-05-08 01:38:14.501000,3.7,3.8,4.7,3.3,4.5,4.1,3.7,4.3,4.5,4.5,4.0
3,3,5,4,5,5,5,5,5,4,5,5,5,4,4,5,5,4,4,5,5,4,4,5,6,4,4,,,LAZARO CARDENAS 2,2021-05-09 17:31:24.144000,3.5,4.6,3.7,5.0,4.5,4.4,4.7,4.5,4.5,4.0,5.0
5,5,5,5,5,5,4,4,4,5,5,5,5,5,5,5,5,5,4,4,5,4,4,4,6,4,1,,,LAZARO CARDENAS 2,2021-05-09 17:31:24.144000,4.1,5.0,5.0,4.0,5.0,4.6,5.0,4.5,5.0,4.0,4.5
4,4,5,1,5,3,5,4,4,4,5,5,5,4,4,2,3,3,4,4,4,4,4,3,7,4,1,,,LAZARO CARDENAS 2,2021-05-09 17:31:24.144000,4.3,4.6,4.3,4.3,3.0,4.0,3.0,3.5,3.0,4.0,3.5
5,5,4,5,5,5,5,4,4,5,5,5,5,5,2,2,2,5,4,5,5,4,4,5,4,1,4,,,LAZARO CARDENAS 2,2021-05-09 17:31:24.144000,3.7,5.0,4.7,4.3,5.0,4.6,2.0,4.7,5.0,4.0,5.0
5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,4,5,3,5,3,3,2,2,5,7,4,1,,,LAZARO CARDENAS 2,2021-05-09 17:31:24.144000,4.3,5.0,5.0,5.0,5.0,5.0,3.7,3.3,4.0,2.0,4.0
4,3,4,4,4,5,4,5,4,4,4,4,5,4,2,3,3,4,4,4,2,2,2,5,6,6,4,,,LAZARO CARDENAS 2,2021-05-09 17:31:24.144000,3.0,4.2,3.7,4.3,4.0,4.0,2.7,3.3,4.5,2.0,3.5
5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,3,5,4,4,5,6,1,1,,,LAZARO CARDENAS 2,2021-05-09 17:31:24.144000,4.8,4.8,5.0,5.0,5.0,5.0,5.0,4.7,5.0,4.0,5.0
5,5,5,5,5,5,5,5,4,5,5,5,5,5,3,5,5,5,5,3,5,5,5,5,6,3,1,,,LAZARO CARDENAS 2,2021-05-09 17:31:24.144000,4.3,5.0,5.0,4.7,5.0,4.9,4.3,5.0,5.0,5.0,5.0
3,4,4,5,5,5,5,5,4,2,5,3,4,4,2,2,2,4,4,4,4,2,2,4,4,4,2,,,LAZARO CARDENAS 2,2021-05-09 17:31:24.144000,3.5,3.6,3.7,4.7,5.0,4.4,2.0,3.5,4.5,2.0,4.0
4,4,5,4,4,3,4,4,5,4,4,5,5,4,4,4,4,4,4,4,5,2,3,4,6,6,4,,,LAZARO CARDENAS 2,2021-05-09 17:31:24.144000,3.0,4.4,4.3,4.3,4.0,4.2,4.0,3.5,3.5,2.5,4.5
4,4,5,4,4,5,4,4,5,4,5,5,4,4,4,5,4,4,4,4,3,2,3,4,5,4,4,,,LAZARO CARDENAS 2,2021-05-09 17:31:24.144000,3.2,4.4,4.3,4.3,4.0,4.2,4.3,3.5,4.5,2.5,3.5
5,1,5,5,5,5,5,3,2,5,3,5,3,3,1,1,2,3,3,3,4,1,2,3,7,4,1,,,LAZARO CARDENAS 2,2021-05-09 17:31:24.144000,4.3,3.8,3.7,3.3,5.0,3.9,1.3,3.0,4.0,1.5,3.5
4,5,4,5,4,3,5,5,4,5,3,5,3,4,5,5,5,4,4,4,5,3,3,4,6,4,4,,,LAZARO CARDENAS 2,2021-05-09 17:31:24.144000,3.5,4.0,4.3,4.7,4.5,4.5,5.0,3.7,3.5,3.0,4.5
5,5,3,5,5,5,5,5,4,5,5,5,5,5,5,5,4,5,2,3,5,3,4,5,7,1,1,,,LAZARO CARDENAS 2,2021-05-09 17:31:24.144000,5.0,5.0,4.3,4.7,5.0,4.6,4.7,4.5,5.0,3.5,5.0
5,5,5,5,5,4,5,5,5,5,5,5,5,5,2,3,2,3,5,5,5,4,4,5,7,2,1,,,LAZARO CARDENAS 2,2021-05-09 17:31:24.144000,4.8,5.0,5.0,5.0,5.0,5.0,2.3,4.2,3.5,4.0,5.0
3,4,5,4,5,4,4,5,3,4,4,4,5,4,4,5,5,4,4,3,4,4,5,3,5,4,4,,,LAZARO CARDENAS 2,2021-05-09 17:31:24.144000,3.2,4.2,4.0,4.0,4.5,4.1,4.7,4.0,4.0,4.5,3.5
5,5,4,4,5,5,5,5,3,5,4,5,5,5,5,5,5,5,4,5,5,1,1,5,7,1,1,,,LAZARO CARDENAS 2,2021-05-09 17:31:24.144000,5.0,4.8,4.7,4.3,4.5,4.5,5.0,3.7,5.0,1.0,5.0
2,2,2,5,5,4,3,4,4,5,4,5,5,4,5,4,4,4,4,5,1,2,1,5,5,6,5,,,CRM_DIxtapaluca,2021-05-11 17:51:53.522000,2.5,4.6,2.0,3.7,5.0,3.4,4.3,2.8,4.0,1.5,3.0
3,4,3,4,4,4,4,3,5,4,4,4,4,4,5,5,5,4,4,3,4,4,4,4,7,3,3,,,CRM_DIxtapaluca,2021-05-11 17:51:53.522000,4.1,4.0,3.3,4.0,4.0,3.8,5.0,4.0,4.0,4.0,4.0
5,4,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,4,4,5,4,4,5,6,6,2,,,CRM_DIxtapaluca,2021-05-11 17:51:53.522000,3.5,4.8,4.7,5.0,5.0,4.9,5.0,4.5,4.5,4.0,5.0
5,4,4,5,5,5,5,4,4,5,4,3,4,3,5,5,5,4,4,2,4,4,4,5,4,3,2,,,CRM_DIxtapaluca,2021-05-11 17:51:53.522000,3.7,3.8,4.3,4.3,5.0,4.5,5.0,4.3,4.5,4.0,4.5
5,5,4,5,5,5,4,4,4,5,5,5,4,4,4,3,4,3,4,4,4,4,4,4,5,4,1,,,CRM_DIxtapaluca,2021-05-11 17:51:53.522000,3.9,4.6,4.7,4.0,5.0,4.5,3.7,4.0,4.0,4.0,4.0
5,5,5,5,5,5,5,5,4,5,5,5,5,4,5,5,5,4,5,3,5,3,4,5,7,2,1,,,CRM_DIxtapaluca,2021-05-11 17:51:53.522000,4.8,4.8,5.0,4.7,5.0,4.9,5.0,4.3,4.5,3.5,5.0
4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,7,2,1,,,CRM_DIxtapaluca,2021-05-11 17:51:53.522000,4.8,5.0,4.7,5.0,5.0,4.9,5.0,5.0,5.0,5.0,5.0
