region,size (n),Well-being_mean,Needs_mean,Engagement_mean,Autonomy_mean,Belonging_mean,Competence_mean,Leadership_mean,Management_mean,Returns_mean,Rewards_mean,Status_mean,Myself_mean,Tasks_mean,Free_mean,Mastery_mean,Competent_mean,Learn_mean,Group_mean,Talk_mean,Care_mean,Satisfied_mean,Meaning_mean,Stay_mean,Ideas_mean,Values_mean,Understands_mean,Encourages_mean,Listens_mean,Network_mean,Friendly_mean,Team_mean,Appreciated_mean,Responsibilities_mean,Work_mean,Impact_mean,Strong_mean,Drained_mean,Frustrated_mean,Front_mean,Well-being_median,Needs_median,Engagement_median,Autonomy_median,Belonging_median,Competence_median,Leadership_median,Management_median,Returns_median,Rewards_median,Status_median,Myself_median,Tasks_median,Free_median,Mastery_median,Competent_median,Learn_median,Group_median,Talk_median,Care_median,Satisfied_median,Meaning_median,Stay_median,Ideas_median,Values_median,Understands_median,Encourages_median,Listens_median,Network_median,Friendly_median,Team_median,Appreciated_median,Responsibilities_median,Work_median,Impact_median,Strong_median,Drained_median,Frustrated_median,Front_median,Volunteer,Staff
Kyiv Region,128,4.2,4.3,4.3,4.4,4.3,4.3,4.3,4.2,4.4,4.0,4.4,4.4,4.3,4.4,4.3,4.3,4.6,4.5,4.2,4.3,4.4,4.4,4.4,4.2,4.1,4.4,4.1,4.3,4.3,4.6,2.9,4.3,4.0,3.9,4.4,5.9,2.7,1.8,0.0,4.3,4.2,4.2,4.3,4.3,4.0,4.2,4.2,4.5,4.0,4.5,5.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,3.0,4.0,4.0,4.0,4.0,6.0,3.0,1.0,0.0,1,0
Kyiv city,119,4.2,4.3,4.3,4.3,4.4,4.3,4.3,4.2,4.3,3.9,4.3,4.4,4.2,4.4,4.3,4.2,4.4,4.5,4.3,4.4,4.3,4.5,4.3,4.4,4.2,4.5,4.2,4.3,4.3,4.6,2.9,4.3,3.9,3.9,4.4,5.6,2.7,1.7,0.0,4.1,4.4,4.4,4.3,4.3,4.0,4.3,4.2,4.5,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,3.0,4.0,4.0,4.0,4.0,6.0,3.0,1.0,0.0,1,0
Lviv Region,94,4.1,4.3,4.3,4.3,4.2,4.2,4.2,4.2,4.3,3.9,4.3,4.2,4.3,4.4,4.3,4.1,4.4,4.4,4.2,4.1,4.3,4.4,4.3,4.2,4.1,4.3,4.1,4.2,4.2,4.5,2.8,4.2,3.9,3.9,4.5,5.5,2.8,1.9,0.0,4.1,4.2,4.2,4.3,4.0,4.0,4.0,4.2,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,5.0,3.0,2.0,0.0,1,0
Mykolaiv Region,172,4.0,4.1,4.1,4.2,4.1,4.1,4.0,4.0,4.2,3.8,4.1,4.2,4.0,4.2,4.2,4.1,4.4,4.3,4.0,4.0,4.2,4.2,4.1,4.1,4.0,4.1,4.0,4.0,4.0,4.2,3.1,4.0,3.8,3.8,4.2,5.5,3.1,2.1,0.0,4.1,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,5.0,3.0,2.0,0.0,1,0
Odessa Region,56,4.1,4.3,4.3,4.2,4.2,4.3,4.3,4.2,4.3,3.9,4.2,4.3,4.2,4.2,4.3,4.3,4.5,4.3,4.2,4.2,4.2,4.5,4.2,4.4,4.2,4.3,4.2,4.3,4.1,4.4,2.9,4.2,3.9,4.0,4.3,5.5,2.9,1.8,0.0,4.1,4.2,4.2,4.3,4.3,4.0,4.3,4.2,4.2,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,5.0,3.0,1.0,0.0,1,0
Poltava Region,77,4.3,4.4,4.5,4.5,4.4,4.4,4.4,4.3,4.4,4.1,4.4,4.6,4.4,4.5,4.4,4.3,4.6,4.6,4.4,4.2,4.5,4.5,4.5,4.4,4.3,4.5,4.3,4.5,4.2,4.6,3.1,4.3,4.1,4.1,4.4,5.9,2.5,1.6,0.0,4.3,4.4,4.4,4.7,4.3,4.0,4.3,4.2,4.5,4.0,4.5,5.0,4.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,4.0,5.0,3.0,4.0,4.0,4.0,4.0,6.0,3.0,1.0,0.0,1,0
Regional Specialists,47,3.6,4.0,4.1,4.0,4.0,3.9,3.9,3.9,4.2,3.4,4.0,4.1,3.8,4.1,4.0,3.9,4.3,4.2,3.9,3.9,4.1,4.3,4.1,4.4,4.0,4.0,3.8,3.9,4.1,4.1,3.0,3.9,3.2,3.6,4.2,5.0,3.7,2.6,0.0,3.5,4.0,4.2,4.0,4.0,4.0,4.0,3.8,4.0,3.5,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,5.0,3.0,3.0,0.0,0,1
Rivne Region,52,4.0,4.2,4.3,4.2,4.2,4.1,4.1,4.1,4.3,4.0,4.2,4.2,4.1,4.3,4.2,4.1,4.4,4.3,4.2,4.0,4.2,4.3,4.2,4.3,4.2,4.1,4.0,4.1,4.1,4.4,3.1,4.0,4.0,4.0,4.3,5.6,3.2,2.0,0.0,4.1,4.1,4.2,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,6.0,3.0,2.0,0.0,1,0
Sumy Region,200,4.1,4.2,4.3,4.3,4.2,4.3,4.2,4.2,4.3,4.0,4.3,4.3,4.2,4.3,4.3,4.2,4.5,4.4,4.1,4.1,4.3,4.4,4.4,4.3,4.2,4.4,4.0,4.2,4.0,4.5,2.9,4.2,4.0,4.0,4.4,5.6,2.8,1.7,0.7,4.1,4.1,4.2,4.0,4.0,4.0,4.0,4.2,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,3.0,4.0,4.0,4.0,4.0,6.0,3.0,1.0,1.0,1,0
Ternopil Region,125,4.0,4.2,4.2,4.3,4.3,4.2,4.2,4.2,4.3,4.0,4.2,4.3,4.2,4.4,4.2,4.1,4.4,4.4,4.2,4.2,4.3,4.4,4.2,4.2,4.1,4.3,4.1,4.3,4.2,4.4,2.8,4.2,4.0,4.0,4.3,5.5,2.9,2.1,0.0,4.1,4.2,4.2,4.3,4.3,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,6.0,3.0,2.0,0.0,1,0
URCS HQ,32,3.4,4.0,4.1,3.9,4.0,4.0,4.0,3.9,4.2,3.4,4.1,3.9,3.8,4.0,3.9,4.0,4.4,4.2,3.9,3.9,4.2,4.3,4.1,4.2,4.0,4.1,4.0,4.0,4.0,4.2,3.0,3.8,3.4,3.4,4.5,4.8,3.9,2.9,0.0,3.5,3.9,4.2,4.0,4.0,4.0,4.0,3.9,4.0,3.2,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,5.0,5.0,4.0,3.0,0.0,0,1
Vinnitsa Region,96,4.0,4.2,4.2,4.2,4.1,4.2,4.2,4.1,4.2,3.8,4.2,4.3,4.1,4.3,4.2,4.2,4.3,4.2,4.1,4.0,4.2,4.3,4.1,4.1,4.1,4.2,4.1,4.3,4.1,4.3,3.1,4.1,3.8,3.9,4.3,5.4,2.9,1.9,0.0,4.1,4.0,4.2,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,5.0,3.0,2.0,0.0,1,0
Volyn Region,60,4.0,4.2,4.3,4.3,4.3,4.2,4.4,4.2,4.3,4.2,4.2,4.4,4.1,4.4,4.2,4.2,4.4,4.4,4.1,4.3,4.4,4.3,4.2,4.3,4.2,4.5,4.2,4.4,4.1,4.3,3.2,4.1,4.2,4.2,4.3,5.7,3.3,2.0,0.0,4.1,4.2,4.2,4.3,4.3,4.0,4.3,4.2,4.2,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,6.0,3.0,2.0,0.0,1,0
Zakarpattya Region,73,3.8,4.2,4.2,4.1,4.3,4.3,4.1,4.0,4.2,3.6,4.2,4.2,4.0,4.2,4.3,4.3,4.3,4.4,4.2,4.2,4.2,4.4,4.1,4.3,3.9,4.2,3.9,4.0,4.1,4.5,2.8,4.0,3.5,3.6,4.3,5.2,3.2,2.3,0.0,3.9,4.1,4.0,4.0,4.3,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,3.0,4.0,4.0,4.0,4.0,5.0,3.0,2.0,0.0,1,0
Zaporizhya Region,78,3.9,4.5,4.5,4.5,4.4,4.5,4.4,4.4,4.4,4.3,4.5,4.5,4.4,4.4,4.4,4.5,4.7,4.5,4.3,4.5,4.5,4.6,4.5,4.5,4.3,4.5,4.3,4.3,4.2,4.6,3.3,4.4,4.3,4.2,4.6,5.4,3.0,2.1,1.0,3.9,4.6,4.6,4.7,4.7,4.5,4.7,4.3,4.5,4.5,4.5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.5,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,3.0,5.0,5.0,4.0,5.0,5.0,3.0,2.0,1.0,1,0
Zytomyr Region,43,3.8,4.1,4.0,4.1,4.0,4.2,3.9,4.0,4.3,3.8,4.0,4.2,4.0,4.1,4.2,4.1,4.5,4.1,3.9,4.0,4.2,4.2,4.0,3.9,3.9,4.0,3.7,4.0,4.1,4.2,3.2,3.8,3.8,3.7,4.2,5.2,3.3,2.2,0.0,3.9,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.5,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,5.0,3.0,2.0,0.0,1,0
